año,comuna,valor_uf_m2_venta,arriendo_uf_m2,rentabilidad_bruta_pct,vacancia_estimada_pct,plusvalia_5a_pct,plusvalia_10a_pct,transacciones_aprox_anual,fuente_principal,fuente_secundaria,calidad_fuente,nota,fecha_actualizacion
2019,Santiago Centro,55.0,0.22,4.8,5.0,,,4200,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Santiago Centro,56.5,0.21,4.5,8.0,,,3100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Santiago Centro,60.0,0.22,4.4,7.0,,,3600,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Santiago Centro,63.0,0.24,4.6,6.0,,,3800,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,Santiago Centro,61.5,0.25,4.9,6.5,,,3500,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,Santiago Centro,59.0,0.26,5.3,7.0,8.5,15.0,3200,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,Ñuñoa,65.0,0.24,4.4,4.0,,,2100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Ñuñoa,67.0,0.23,4.1,5.0,,,1600,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Ñuñoa,70.0,0.24,4.1,4.5,,,2000,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Ñuñoa,73.0,0.26,4.3,4.0,,,2100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
